region_name,year,month,avg_new_positives,vaccination
Abruzzo,2020,12,25.0,29.0
Basilicata,2020,12,9.0,59.0
Calabria,2020,12,195.5,155.0
Campania,2020,12,932.0,1091.0
Emilia-Romagna,2020,12,1563.6363636363637,1236.0
Friuli Venezia Giulia,2020,12,610.8823529411765,898.0
Lazio,2020,12,1246.7777777777778,3872.0
Liguria,2020,12,286.36842105263156,605.0
Lombardia,2020,12,1568.888888888889,901.0
Marche,2020,12,489.6666666666667,236.0
Molise,2020,12,1.0,16.0
Piemonte,2020,12,953.2727272727273,2585.0
Puglia,2020,12,974.7,948.0
Sardegna,2020,12,177.23076923076923,158.0
Sicilia,2020,12,918.0526315789474,837.0
Toscana,2020,12,409.14285714285717,831.0
Umbria,2020,12,149.14285714285714,212.0
Valle d'Aosta,2020,12,28.0,26.0
Veneto,2020,12,4087.6666666666665,2144.0
Abruzzo,2021,1,234.59722222222223,7009.0
Basilicata,2021,1,74.84297520661157,4999.0
Calabria,2021,1,287.38345864661653,17570.0
Campania,2021,1,1041.78391959799,50779.0
Emilia-Romagna,2021,1,1438.7006369426751,49236.0
Friuli Venezia Giulia,2021,1,560.8042328042328,13502.0
Lazio,2021,1,1360.1238938053098,53680.0
Liguria,2021,1,295.9624060150376,18350.0
Lombardia,2021,1,1914.4436090225563,97964.0
Marche,2021,1,432.3393939393939,11984.0
Molise,2021,1,59.213592233009706,3012.0
Piemonte,2021,1,816.5196850393701,56148.0
Puglia,2021,1,1027.7903225806451,33385.0
Sardegna,2021,1,238.53225806451613,14716.0
Sicilia,2021,1,1352.9901960784314,50439.0
Toscana,2021,1,457.47701149425285,29810.0
Umbria,2021,1,234.25,6709.0
Valle d'Aosta,2021,1,17.62608695652174,1888.0
Veneto,2021,1,2241.9627329192544,45418.0
Abruzzo,2021,2,429.7681818181818,18445.0
Basilicata,2021,2,88.83076923076923,18477.0
Calabria,2021,2,184.39914163090128,24392.0
Campania,2021,2,1659.2549019607843,95566.0
Emilia-Romagna,2021,2,1579.6681614349775,108990.0
Friuli Venezia Giulia,2021,2,345.1598173515982,27469.0
Lazio,2021,2,1038.6714285714286,119293.0
Liguria,2021,2,300.30434782608694,31636.0
Lombardia,2021,2,2428.322222222222,144396.0
Marche,2021,2,456.94174757281553,28903.0
Molise,2021,2,88.608,6963.0
Piemonte,2021,2,884.7815533980582,81076.0
Puglia,2021,2,868.6233766233767,63703.0
Sardegna,2021,2,91.77653631284916,26275.0
Sicilia,2021,2,567.2835820895523,81984.0
Toscana,2021,2,800.6693227091633,91554.0
Umbria,2021,2,312.728,11467.0
Valle d'Aosta,2021,2,9.76158940397351,3155.0
Veneto,2021,2,1515.41592920354,76967.0
Abruzzo,2021,3,344.44848484848484,69224.0
Basilicata,2021,3,122.42013888888889,34512.0
Calabria,2021,3,293.9068493150685,81162.0
Campania,2021,3,2231.6544943820227,235733.0
Emilia-Romagna,2021,3,2445.8610354223433,310387.0
Friuli Venezia Giulia,2021,3,677.625344352617,75900.0
Lazio,2021,3,1666.26,356565.0
Liguria,2021,3,369.20578778135047,96802.0
Lombardia,2021,3,4255.833333333333,475120.0
Marche,2021,3,649.1048158640226,90315.0
Molise,2021,3,47.21376811594203,21958.0
Piemonte,2021,3,2005.4666666666667,245711.0
Puglia,2021,3,1485.7431693989072,161350.0
Sardegna,2021,3,146.03754266211604,76922.0
Sicilia,2021,3,692.5537190082645,219798.0
Toscana,2021,3,1266.8703170028818,197055.0
Umbria,2021,3,201.0035587188612,50128.0
Valle d'Aosta,2021,3,40.17916666666667,7132.0
Veneto,2021,3,1956.65,330301.0
Abruzzo,2021,4,199.03804347826087,150581.0
Basilicata,2021,4,149.51681957186545,63181.0
Calabria,2021,4,437.31491712707185,179808.0
Campania,2021,4,1806.0544041450778,518365.0
Emilia-Romagna,2021,4,1111.8373333333334,654156.0
Friuli Venezia Giulia,2021,4,254.5977653631285,162000.0
Lazio,2021,4,1266.4604316546763,678901.0
Liguria,2021,4,333.50143266475646,235886.0
Lombardia,2021,4,2300.048128342246,1312576.0
Marche,2021,4,317.3076923076923,220936.0
Molise,2021,4,32.381294964028775,40000.0
Piemonte,2021,4,1213.218487394958,615414.0
Puglia,2021,4,1387.5220779220779,507362.0
Sardegna,2021,4,298.99701492537315,177430.0
Sicilia,2021,4,1142.0112994350281,433783.0
Toscana,2021,4,1052.327536231884,540984.0
Umbria,2021,4,119.6797153024911,126296.0
Valle d'Aosta,2021,4,54.60071942446043,15657.0
Veneto,2021,4,1132.527027027027,680807.0
Abruzzo,2021,5,90.24229979466119,206502.0
Basilicata,2021,5,74.25485436893204,82941.0
Calabria,2021,5,219.2111801242236,303103.0
Campania,2021,5,885.4141414141415,1020799.0
Emilia-Romagna,2021,5,466.1965065502183,740014.0
Friuli Venezia Giulia,2021,5,58.26923076923077,203591.0
Lazio,2021,5,589.3225806451613,1083609.0
Liguria,2021,5,103.66203703703704,291581.0
Lombardia,2021,5,982.2226720647774,1638376.0
Marche,2021,5,159.18201754385964,257254.0
Molise,2021,5,10.8486646884273,66708.0
Piemonte,2021,5,473.27021276595747,726752.0
Puglia,2021,5,499.1635991820041,712743.0
Sardegna,2021,5,69.12304250559284,285574.0
Sicilia,2021,5,549.3617463617463,689303.0
Toscana,2021,5,467.68470588235294,652238.0
Umbria,2021,5,60.96143958868895,161482.0
Valle d'Aosta,2021,5,22.606153846153845,20890.0
Veneto,2021,5,469.9381443298969,819647.0
Abruzzo,2021,6,27.530701754385966,278176.0
Basilicata,2021,6,21.66412213740458,116990.0
Calabria,2021,6,67.83333333333333,372474.0
Campania,2021,6,172.28733031674207,1179134.0
Emilia-Romagna,2021,6,99.57327586206897,955016.0
Friuli Venezia Giulia,2021,6,20.313953488372093,240466.0
Lazio,2021,6,131.38493723849373,1315433.0
Liguria,2021,6,16.586466165413533,319577.0
Lombardia,2021,6,224.30703624733476,2236024.0
Marche,2021,6,32.87919463087248,312279.0
Molise,2021,6,3.864406779661017,73028.0
Piemonte,2021,6,90.54323725055433,906538.0
Puglia,2021,6,98.26451612903226,899275.0
Sardegna,2021,6,19.43548387096774,360313.0
Sicilia,2021,6,196.34736842105264,898971.0
Toscana,2021,6,95.82857142857142,801760.0
Umbria,2021,6,15.809399477806789,195636.0
Valle d'Aosta,2021,6,3.365625,27503.0
Veneto,2021,6,96.32819383259911,1036541.0
Abruzzo,2021,7,45.780126849894295,293220.0
Basilicata,2021,7,15.16243654822335,130385.0
Calabria,2021,7,64.9194214876033,397561.0
Campania,2021,7,217.7280163599182,1219486.0
Emilia-Romagna,2021,7,241.2887029288703,985736.0
Friuli Venezia Giulia,2021,7,35.831295843520785,249344.0
Lazio,2021,7,405.258064516129,1359739.0
Liguria,2021,7,62.12299465240642,348469.0
Lombardia,2021,7,360.79837067209775,2299046.0
Marche,2021,7,62.989106753812635,326723.0
Molise,2021,7,6.110824742268041,75008.0
Piemonte,2021,7,94.36263736263736,938636.0
Puglia,2021,7,87.59606986899563,927746.0
Sardegna,2021,7,157.72477064220183,381082.0
Sicilia,2021,7,363.6078028747433,975221.0
Toscana,2021,7,254.12100456621005,835421.0
Umbria,2021,7,49.61953727506427,200307.0
Valle d'Aosta,2021,7,2.3932926829268295,28146.0
Veneto,2021,7,402.8973799126638,1073868.0
Abruzzo,2021,8,91.12300683371298,304817.0
Basilicata,2021,8,50.236111111111114,137390.0
Calabria,2021,8,217.58898305084745,414441.0
Campania,2021,8,473.68672199170123,1262019.0
Emilia-Romagna,2021,8,571.9337606837607,1035073.0
Friuli Venezia Giulia,2021,8,91.48816568047337,263331.0
Lazio,2021,8,520.1612903225806,1406665.0
Liguria,2021,8,145.23855421686747,365224.0
Lombardia,2021,8,540.49377593361,2381837.0
Marche,2021,8,160.47085201793723,340755.0
Molise,2021,8,10.109717868338558,76835.0
Piemonte,2021,8,216.55257731958764,986948.0
Puglia,2021,8,242.58389261744966,954037.0
Sardegna,2021,8,322.12735849056605,408459.0
Sicilia,2021,8,1068.971615720524,1042249.0
Toscana,2021,8,624.7333333333333,885845.0
Umbria,2021,8,107.84935064935065,209284.0
Valle d'Aosta,2021,8,7.968051118210862,28799.0
Veneto,2021,8,666.1720183486239,1123022.0
Abruzzo,2021,9,73.81203007518798,313454.0
Basilicata,2021,9,40.775,141166.0
Calabria,2021,9,203.4272076372315,431792.0
Campania,2021,9,358.0845070422535,1302068.0
Emilia-Romagna,2021,9,398.07424593967517,1068443.0
Friuli Venezia Giulia,2021,9,98.2843137254902,274231.0
Lazio,2021,9,330.34754797441366,1445302.0
Liguria,2021,9,98.20441988950276,378492.0
Lombardia,2021,9,470.5991091314031,2452789.0
Marche,2021,9,110.60981912144703,352439.0
Molise,2021,9,7.775100401606426,78267.0
Piemonte,2021,9,220.1324200913242,1025331.0
Puglia,2021,9,172.56084656084656,975519.0
Sardegna,2021,9,113.32394366197182,423995.0
Sicilia,2021,9,730.6882793017456,1097963.0
Toscana,2021,9,369.23809523809524,922199.0
Umbria,2021,9,73.74223602484471,214304.0
Valle d'Aosta,2021,9,3.342222222222222,29522.0
Veneto,2021,9,577.7576530612245,1156001.0
Abruzzo,2021,10,56.62234042553192,319133.0
Basilicata,2021,10,19.79591836734694,143573.0
Calabria,2021,10,121.85250737463127,444044.0
Campania,2021,10,343.3485714285714,1330881.0
Emilia-Romagna,2021,10,273.40897755610973,1089734.0
Friuli Venezia Giulia,2021,10,109.52229299363057,283716.0
Lazio,2021,10,335.5444191343964,1468674.0
Liguria,2021,10,70.86734693877551,388274.0
Lombardia,2021,10,343.3619791666667,2488977.0
Marche,2021,10,73.68820224719101,360357.0
Molise,2021,10,5.695431472081219,79182.0
Piemonte,2021,10,189.6682808716707,1049913.0
Puglia,2021,10,135.57556270096464,988821.0
Sardegna,2021,10,30.80718954248366,431463.0
Sicilia,2021,10,316.3180327868852,1130755.0
Toscana,2021,10,236.03076923076924,939024.0
Umbria,2021,10,46.57044673539519,217780.0
Valle d'Aosta,2021,10,5.6740331491712706,30188.0
Veneto,2021,10,463.7366946778711,1179521.0
Abruzzo,2021,11,153.95437262357413,321673.0
Basilicata,2021,11,26.716,144506.0
Calabria,2021,11,177.35,450301.0
Campania,2021,11,775.949806949807,1344858.0
Emilia-Romagna,2021,11,799.8599348534202,1096945.0
Friuli Venezia Giulia,2021,11,474.5168539325843,286319.0
Lazio,2021,11,946.1191860465116,1479757.0
Liguria,2021,11,234.0909090909091,392711.0
Lombardia,2021,11,1275.1275862068965,2502123.0
Marche,2021,11,253.25,363471.0
Molise,2021,11,16.757894736842104,79714.0
Piemonte,2021,11,476.76785714285717,1060307.0
Puglia,2021,11,220.9506172839506,995369.0
Sardegna,2021,11,91.48275862068965,434528.0
Sicilia,2021,11,514.6587301587301,1145172.0
Toscana,2021,11,395.3238866396761,945130.0
Umbria,2021,11,76.70325203252033,219053.0
Valle d'Aosta,2021,11,31.28780487804878,30463.0
Veneto,2021,11,1619.7421875,1187861.0
Abruzzo,2021,12,643.2121212121212,324866.0
Basilicata,2021,12,155.86475409836066,145602.0
Calabria,2021,12,608.6449275362319,459048.0
Campania,2021,12,2966.1814946619215,1361444.0
Emilia-Romagna,2021,12,2575.3615635179153,1105542.0
Friuli Venezia Giulia,2021,12,795.2286689419795,290467.0
Lazio,2021,12,2677.4171122994653,1494922.0
Liguria,2021,12,866.5603112840467,398272.0
Lombardia,2021,12,9514.114186851211,2519096.0
Marche,2021,12,704.4307692307692,367456.0
Molise,2021,12,49.2655601659751,80306.0
Piemonte,2021,12,3190.2549019607845,1071613.0
Puglia,2021,12,1010.6779026217229,1004307.0
Sardegna,2021,12,307.078125,438570.0
Sicilia,2021,12,1601.7471698113206,1163247.0
Toscana,2021,12,2638.7867647058824,952982.0
