year,region_name,total_cases_cumulative,total_vaccinations_cumulative,cases_per_vaccination_pct
2020,Abruzzo,100,47,212.7700
2020,Basilicata,27,107,25.2300
2020,Calabria,1173,325,360.9200
2020,Campania,7456,2207,337.8300
2020,Emilia-Romagna,17200,3192,538.8500
2020,Friuli Venezia Giulia,10385,1969,527.4300
2020,Lazio,33663,8813,381.9700
2020,Liguria,5441,1342,405.4400
2020,Lombardia,28240,1763,1601.8200
2020,Marche,4407,466,945.7100
2020,Molise,4,44,9.0900
2020,Piemonte,10486,5643,185.8200
2020,Puglia,9747,2150,453.3500
2020,Sardegna,2304,234,984.6200
2020,Sicilia,17443,1950,894.5100
2020,Toscana,5728,1758,325.8200
2020,Umbria,1044,440,237.2700
2020,Valle d'Aosta,168,38,442.1100
2020,Veneto,49052,4606,1064.9600
2021,Abruzzo,694543,2372281,29.2800
2021,Basilicata,239373,1008529,23.7300
2021,Calabria,960740,3212460,29.9100
2021,Campania,4285888,9957397,43.0400
2021,Emilia-Romagna,3870033,8314409,46.5500
2021,Friuli Venezia Giulia,1034837,2152104,48.0800
2021,Lazio,4269667,10870988,39.2800
2021,Liguria,801924,2834334,28.2900
2021,Lombardia,7821430,19234426,40.6600
2021,Marche,1018283,2727832,37.3300
2021,Molise,67947,578892,11.7400
2021,Piemonte,3117153,7899173,39.4600
2021,Puglia,2285095,7579700,30.1500
2021,Sardegna,585439,3000935,19.5100
2021,Sicilia,3068968,8060225,38.0800
2021,Toscana,2764805,7065454,39.1300
2021,Umbria,500597,1644856,30.4300
2021,Valle d'Aosta,72128,224279,32.1600
2021,Veneto,4810806,8889155,54.1200
2022,Abruzzo,5015365,2941980,170.4800
2022,Basilicata,1506514,1258858,119.6700
2022,Calabria,5298618,4086779,129.6500
2022,Campania,21522541,12389186,173.7200
2022,Emilia-Romagna,17524551,10301028,170.1200
2022,Friuli Venezia Giulia,4194900,2680797,156.4800
2022,Lazio,24672293,13353860,184.7600
2022,Liguria,4890901,3517985,139.0300
2022,Lombardia,34086248,23747075,143.5400
2022,Marche,6054543,3327938,181.9300
2022,Molise,626011,698794,89.5800
2022,Piemonte,14221876,9858978,144.2500
2022,Puglia,12624628,9277412,136.0800
2022,Sardegna,3797928,3710924,102.3400
2022,Sicilia,14717444,10350024,142.2000
2022,Toscana,12860227,8759986,146.8100
2022,Umbria,3173661,2022061,156.9500
2022,Valle d'Aosta,290857,275808,105.4600
2022,Veneto,25812522,10842398,238.0700
2023,Abruzzo,5108923,2943124,173.5900
2023,Basilicata,1520631,1259177,120.7600
2023,Calabria,5388613,4087463,131.8300
2023,Campania,21845956,12392484,176.2800
2023,Emilia-Romagna,17895563,10309239,173.5900
2023,Friuli Venezia Giulia,4268559,2682393,159.1300
2023,Lazio,25346014,13360240,189.7100
2023,Liguria,4968271,3520505,141.1200
2023,Lombardia,35086140,23761143,147.6600
2023,Marche,6132807,3329089,184.2200
2023,Molise,635184,698950,90.8800
2023,Piemonte,14522487,9863190,147.2400
2023,Puglia,12863885,9281940,138.5900
2023,Sardegna,3889890,3711708,104.8000
2023,Sicilia,15009062,10353218,144.9700
2023,Toscana,13033972,8767400,148.6600
2023,Umbria,3247848,2022707,160.5700
2023,Valle d'Aosta,292369,275874,105.9800
2023,Veneto,26378481,10848953,243.1400
