region_name,age_group,total_first_dose,total_second_dose,total_booster,population_2024,pct_first_dose,pct_second_dose,pct_booster
Abruzzo,00-29,219085.0,209966.0,128735.0,375704,58.31,55.89,34.27
Abruzzo,30-49,275182.0,266497.0,223994.0,342182,80.42,77.88,65.46
Abruzzo,50-69,332783.0,319294.0,310937.0,365220,91.12,87.43,85.14
Abruzzo,70+,223266.0,219637.0,213748.0,216822,102.97,101.3,98.58
Basilicata,00-29,97488.0,90623.0,56377.0,178784,54.53,50.69,31.53
Basilicata,30-49,115927.0,109855.0,93381.0,163752,70.79,67.09,57.03
Basilicata,50-69,148516.0,140815.0,135508.0,173913,85.4,80.97,77.92
Basilicata,70+,92842.0,91466.0,86379.0,113609,81.72,80.51,76.03
Calabria,00-29,343286.0,323707.0,176833.0,908175,37.8,35.64,19.47
Calabria,30-49,406229.0,377250.0,297085.0,779869,52.09,48.37,38.09
Calabria,50-69,477096.0,451210.0,410433.0,877785,54.35,51.4,46.76
Calabria,70+,285982.0,282023.0,256329.0,533050,53.65,52.91,48.09
Campania,00-29,1106368.0,1020346.0,626321.0,1619445,68.32,63.01,38.68
Campania,30-49,1289302.0,1219659.0,975529.0,1401641,91.99,87.02,69.6
Campania,50-69,1403666.0,1358852.0,1241627.0,1536526,91.35,88.44,80.81
Campania,70+,740147.0,728034.0,682633.0,928017,79.76,78.45,73.56
Emilia-Romagna,00-29,760282.0,728520.0,466941.0,1219077,62.37,59.76,38.3
Emilia-Romagna,30-49,989371.0,960790.0,799023.0,1119235,88.4,85.84,71.39
Emilia-Romagna,50-69,1126728.0,1063321.0,1087028.0,1129632,99.74,94.13,96.23
Emilia-Romagna,70+,787900.0,763493.0,775842.0,734864,107.22,103.9,105.58
Friuli Venezia Giulia,00-29,186460.0,178491.0,112267.0,375327,49.68,47.56,29.91
Friuli Venezia Giulia,30-49,240569.0,233169.0,191159.0,350183,68.7,66.58,54.59
Friuli Venezia Giulia,50-69,299547.0,277008.0,290553.0,361968,82.76,76.53,80.27
