region_name,year,month,nuovi_positivi,ospedalizzati,deceduti,tamponi_totali,tasso_positivita
Abruzzo,2021,1,7544,13691,41304,173594,4.35
Basilicata,2021,1,2406,2616,9044,27333,8.80
Calabria,2021,1,8827,8421,16588,77684,11.36
Campania,2021,1,32512,43847,103313,396857,8.19
Emilia-Romagna,2021,1,47222,77929,268942,531557,8.88
Friuli Venezia Giulia,2021,1,17111,20570,63538,213782,8.00
Lazio,2021,1,42397,84298,135614,635413,6.67
Liguria,2021,1,9199,20406,96346,151094,6.09
Lombardia,2021,1,59151,108655,810767,805846,7.34
Marche,2021,1,13863,16901,54970,157706,8.79
Molise,2021,1,1826,1689,7108,22395,8.15
Piemonte,2021,1,25269,78115,259445,390275,6.47
Puglia,2021,1,31943,43258,87561,268362,11.90
Sardegna,2021,1,7424,15077,27243,97695,7.60
Sicilia,2021,1,42459,41357,91442,565327,7.51
Toscana,2021,1,14128,22701,122708,353425,4.00
Umbria,2021,1,7091,9020,21538,125499,5.65
Valle d'Aosta,2021,1,543,1497,12222,7452,7.29
Veneto,2021,1,74670,84115,302097,852654,8.76
Abruzzo,2021,2,11641,14791,44102,312783,3.72
Basilicata,2021,2,2404,2159,9852,38922,6.18
Calabria,2021,2,5133,5910,18047,65551,7.83
Campania,2021,2,45434,38683,112754,503227,9.03
Emilia-Romagna,2021,2,42197,56067,282800,747769,5.64
Friuli Venezia Giulia,2021,2,9278,12165,74804,202847,4.57
Lazio,2021,2,28780,57954,153988,774387,3.72
Liguria,2021,2,8310,15888,98413,171443,4.85
Lombardia,2021,2,65027,103403,777816,984216,6.61
Marche,2021,2,12370,15132,59210,143779,8.60
Molise,2021,2,2342,2181,8729,24792,9.45
Piemonte,2021,2,24037,54953,256048,500846,4.80
Puglia,2021,2,24143,37785,100825,244590,9.87
Sardegna,2021,2,2654,9035,29980,181574,1.46
Sicilia,2021,2,16455,28630,107758,658373,2.50
Toscana,2021,2,21779,20425,124358,491240,4.43
Umbria,2021,2,8632,12118,25587,183941,4.69
Valle d'Aosta,2021,2,257,418,11523,7488,3.43
Veneto,2021,2,41630,38690,325455,878938,4.74
Abruzzo,2021,3,10800,20116,59779,242417,4.46
Basilicata,2021,3,3823,4229,12441,42367,9.02
Calabria,2021,3,9078,8668,23106,83572,10.86
Campania,2021,3,69670,46850,148343,672066,10.37
Emilia-Romagna,2021,3,75773,100355,347298,998742,7.59
Friuli Venezia Giulia,2021,3,20678,16568,94767,273734,7.55
Lazio,2021,3,51219,73338,193837,1040583,4.92
Liguria,2021,3,11346,17464,116436,202331,5.61
Lombardia,2021,3,132433,190217,913082,1520184,8.71
Marche,2021,3,20289,21974,75612,171529,11.83
Molise,2021,3,1579,2818,12431,21845,7.23
Piemonte,2021,3,62146,93802,303260,737272,8.43
Puglia,2021,3,45962,47918,134947,313883,14.64
Sardegna,2021,3,4312,5694,37208,243477,1.77
Sicilia,2021,3,21565,22968,135715,719214,3.00
Toscana,2021,3,39139,41168,154817,699472,5.60
Umbria,2021,3,6225,12375,36146,167790,3.71
Valle d'Aosta,2021,3,1186,630,12965,17695,6.70
Veneto,2021,3,60977,49106,388810,1151761,5.29
Abruzzo,2021,4,5998,15415,68640,179348,3.34
Basilicata,2021,4,4498,5077,14751,44911,10.02
Calabria,2021,4,13116,13781,27731,104959,12.50
Campania,2021,4,54503,46323,177236,696309,7.83
Emilia-Romagna,2021,4,33608,74495,374901,735774,4.57
Friuli Venezia Giulia,2021,4,7666,13054,106352,220637,3.47
Lazio,2021,4,38307,84426,215850,965548,3.97
Liguria,2021,4,10092,18053,121062,206339,4.89
Lombardia,2021,4,69136,157293,960246,1305483,5.30
Marche,2021,4,9559,18711,84303,124531,7.68
Molise,2021,4,958,1416,13783,30093,3.18
Piemonte,2021,4,36113,94675,325026,640913,5.63
Puglia,2021,4,41829,56055,160633,353254,11.84
Sardegna,2021,4,9004,10057,39054,181010,4.97
Sicilia,2021,4,34364,34809,151984,731367,4.70
Toscana,2021,4,31468,47197,173502,692759,4.54
Umbria,2021,4,3534,7362,39290,184153,1.92
Valle d'Aosta,2021,4,1634,1643,13187,18645,8.76
Veneto,2021,4,34059,46846,404851,948530,3.59
Abruzzo,2021,5,2829,7122,75991,154195,1.83
Basilicata,2021,5,2360,3410,17368,35017,6.74
Calabria,2021,5,6858,11001,34276,95081,7.21
Campania,2021,5,27477,35610,212076,616375,4.46
Emilia-Romagna,2021,5,14727,33314,405210,665693,2.21
Friuli Venezia Giulia,2021,5,1850,3227,116515,182182,1.02
Lazio,2021,5,18269,48257,247420,862276,2.12
Liguria,2021,5,3345,9001,132433,172964,1.93
Lombardia,2021,5,30497,66942,1032799,1199928,2.54
Marche,2021,5,4977,7990,92534,106622,4.67
Molise,2021,5,358,621,15044,14999,2.39
Piemonte,2021,5,14881,40134,356135,579633,2.57
Puglia,2021,5,15578,34613,193582,269240,5.79
Sardegna,2021,5,2152,7334,44351,118862,1.81
Sicilia,2021,5,17322,25250,175081,621146,2.79
Toscana,2021,5,14580,26774,201544,614003,2.37
Umbria,2021,5,1941,3542,42729,176177,1.10
Valle d'Aosta,2021,5,661,689,14468,15602,4.24
Veneto,2021,5,14611,20267,433839,861350,1.70
Abruzzo,2021,6,816,1909,75076,119526,0.68
Basilicata,2021,6,632,1124,17588,20506,3.08
Calabria,2021,6,2030,4051,36210,64971,3.12
Campania,2021,6,5043,11749,220331,367894,1.37
Emilia-Romagna,2021,6,2975,8907,396990,472036,0.63
Friuli Venezia Giulia,2021,6,599,498,113769,132107,0.45
Lazio,2021,6,3942,13593,248155,638841,0.62
Liguria,2021,6,479,1535,130245,144958,0.33
Lombardia,2021,6,6708,17111,1011657,913910,0.73
Marche,2021,6,958,1589,90822,64458,1.49
Molise,2021,6,133,212,14730,11564,1.15
Piemonte,2021,6,2650,9283,350306,468156,0.57
Puglia,2021,6,2922,7996,197651,182378,1.60
Sardegna,2021,6,577,2310,44466,78231,0.74
Sicilia,2021,6,5887,8718,177484,389954,1.51
Toscana,2021,6,2852,6019,204411,404703,0.70
Umbria,2021,6,470,1058,42404,118731,0.40
Valle d'Aosta,2021,6,98,99,14169,10393,0.94
Veneto,2021,6,2843,4482,424089,669670,0.42
Abruzzo,2021,7,1403,725,77898,141828,0.99
Basilicata,2021,7,452,462,18318,17574,2.57
Calabria,2021,7,1993,1579,38406,59995,3.32
Campania,2021,7,6751,6021,234104,385828,1.75
Emilia-Romagna,2021,7,7534,4874,411368,547961,1.37
Friuli Venezia Giulia,2021,7,1114,232,117463,152448,0.73
Lazio,2021,7,12563,5197,259734,764659,1.64
Liguria,2021,7,1895,538,135018,157253,1.21
Lombardia,2021,7,11145,4835,1047933,958629,1.16
Marche,2021,7,1922,368,94184,68655,2.80
Molise,2021,7,197,41,15251,10713,1.84
Piemonte,2021,7,2903,2116,362641,496917,0.58
Puglia,2021,7,2690,2547,206348,221542,1.21
Sardegna,2021,7,4815,1525,46329,126738,3.80
Sicilia,2021,7,11244,5209,186188,366709,3.07
Toscana,2021,7,7699,2522,213729,346501,2.22
Umbria,2021,7,1499,326,44121,123350,1.22
Valle d'Aosta,2021,7,74,13,14664,10365,0.71
Veneto,2021,7,12281,1974,439298,877088,1.40
Abruzzo,2021,8,2848,1783,78090,187867,1.52
Basilicata,2021,8,1539,985,18433,26958,5.71
Calabria,2021,8,6757,3372,39757,90831,7.44
Campania,2021,8,14714,9536,237336,432329,3.40
Emilia-Romagna,2021,8,17719,10562,412635,716024,2.47
Friuli Venezia Giulia,2021,8,2798,900,117611,171055,1.64
Lazio,2021,8,16125,14128,262066,104987,15.36
Liguria,2021,8,4477,1953,135568,195526,2.29
Lombardia,2021,8,16724,9228,1049812,1000726,1.67
Marche,2021,8,4955,1451,94325,78784,6.29
Molise,2021,8,333,162,15274,10365,3.21
Piemonte,2021,8,6680,3689,362891,500821,1.33
Puglia,2021,8,7523,4652,207236,382214,1.97
Sardegna,2021,8,9933,4836,47681,186502,5.33
Sicilia,2021,8,33590,17748,191238,494080,6.80
Toscana,2021,8,19292,9232,215704,400277,4.82
Umbria,2021,8,3334,1165,44216,168323,1.98
Valle d'Aosta,2021,8,254,100,14663,16827,1.51
Veneto,2021,8,20557,6058,440404,1082033,1.90
Abruzzo,2021,9,2196,2210,76096,209943,1.05
Basilicata,2021,9,1197,1379,18204,25199,4.75
Calabria,2021,9,6063,5030,40891,109326,5.55
Campania,2021,9,10629,9482,235376,503163,2.11
Emilia-Romagna,2021,9,11946,12046,402628,864688,1.38
Friuli Venezia Giulia,2021,9,2983,1389,114346,250826,1.19
Lazio,2021,9,9894,12961,257627,622700,1.59
Liguria,2021,9,2893,2199,131860,208390,1.39
Lombardia,2021,9,14050,11979,1019203,1469589,0.96
Marche,2021,9,3340,1748,91818,97427,3.43
Molise,2021,9,253,220,14866,11742,2.15
Piemonte,2021,9,6545,5579,352201,682845,0.96
Puglia,2021,9,5086,5718,202599,395925,1.28
Sardegna,2021,9,3273,5777,48460,193277,1.69
Sicilia,2021,9,21530,21099,198748,528273,4.08
Toscana,2021,9,10947,10422,212581,505042,2.17
Umbria,2021,9,2124,1367,43206,185904,1.14
Valle d'Aosta,2021,9,109,52,14200,20889,0.52
Veneto,2021,9,17162,7488,428616,1254214,1.37
Abruzzo,2021,10,1781,1605,79138,305249,0.58
Basilicata,2021,10,635,778,19246,21123,3.01
Calabria,2021,10,3782,3106,44344,107292,3.52
Campania,2021,10,10809,6022,248158,600557,1.80
Emilia-Romagna,2021,10,8569,9720,419446,799357,1.07
Friuli Venezia Giulia,2021,10,3501,1429,118904,472544,0.74
Lazio,2021,10,10599,10619,270276,829686,1.28
Liguria,2021,10,2218,1679,136954,314141,0.71
Lombardia,2021,10,10839,9697,1057362,2427023,0.45
Marche,2021,10,2375,1344,95738,84172,2.82
Molise,2021,10,169,97,15425,11835,1.43
Piemonte,2021,10,5915,5524,365453,1236726,0.48
Puglia,2021,10,4274,4178,211231,519537,0.82
Sardegna,2021,10,930,2178,51415,204344,0.46
Sicilia,2021,10,9856,9869,214879,420330,2.34
