region_name,avg_new_positives
Liguria,2465.7748455923638405
Trentino-Alto Adige,1597.5800112296462661
Campania,1445.2436833239752948
Lazio,1438.1577765300393038
Emilia-Romagna,1252.1044357102751263
Piemonte,1023.9185850645704660
Toscana,937.3469960696238069
Sicilia,931.1830432341381246
Puglia,908.7243121841661988
Marche,414.1909039865244245
Abruzzo,390.4171813587871982
Friuli Venezia Giulia,381.6692869174620999
Calabria,370.1482313307130825
Veneto,340.1746209994385177
Sardegna,298.3823694553621561
Umbria,259.8046041549691185
Basilicata,114.0477259966311061
Molise,59.6204379562043796
Valle d'Aosta,29.8253790005614823
