region_name,year,month,total_deceased,total_new_positives
Abruzzo,2020,2,0,2
Basilicata,2020,2,0,0
Calabria,2020,2,0,1
Campania,2020,2,0,13
Emilia-Romagna,2020,2,8,217
Friuli Venezia Giulia,2020,2,0,42
Lazio,2020,2,0,5
Liguria,2020,2,78,609
Marche,2020,2,0,11
Molise,2020,2,0,0
Piemonte,2020,2,0,11
Puglia,2020,2,0,3
Sardegna,2020,2,0,0
Sicilia,2020,2,0,4
Toscana,2020,2,0,11
Trentino-Alto Adige,2020,2,10,190
Umbria,2020,2,0,0
Valle d'Aosta,2020,2,0,0
Veneto,2020,2,0,0
Abruzzo,2020,3,759,1399
Basilicata,2020,3,26,226
Calabria,2020,3,197,658
Campania,2020,3,975,2079
Emilia-Romagna,2020,3,16633,13857
Friuli Venezia Giulia,2020,3,3713,3374
Lazio,2020,3,1363,3089
Liguria,2020,3,71379,42593
Marche,2020,3,3994,3814
Molise,2020,3,100,144
Piemonte,2020,3,6642,9290
Puglia,2020,3,838,1800
Sardegna,2020,3,219,722
Sicilia,2020,3,447,1643
Toscana,2020,3,1931,4597
Trentino-Alto Adige,2020,3,4047,8964
Umbria,2020,3,266,1078
Valle d'Aosta,2020,3,352,628
Veneto,2020,3,1043,1593
Abruzzo,2020,4,6947,1529
Basilicata,2020,4,579,141
Calabria,2020,4,2047,449
Campania,2020,4,8154,2331
Emilia-Romagna,2020,4,82296,11362
Friuli Venezia Giulia,2020,4,25074,4577
Lazio,2020,4,9287,3521
Liguria,2020,4,337177,32524
Marche,2020,4,22240,2422
Molise,2020,4,481,154
Piemonte,2020,4,60375,16988
Puglia,2020,4,8681,2269
Sardegna,2020,4,2354,573
Sicilia,2020,4,5223,1519
Toscana,2020,4,16768,4744
Trentino-Alto Adige,2020,4,29199,8805
Umbria,2020,4,1626,314
Valle d'Aosta,2020,4,3381,500
Veneto,2020,4,6301,1432
Abruzzo,2020,5,11599,314
Basilicata,2020,5,823,32
Calabria,2020,5,2891,50
Campania,2020,5,12176,379
Emilia-Romagna,2020,5,121440,2354
Friuli Venezia Giulia,2020,5,41515,1670
Lazio,2020,5,19007,1112
Liguria,2020,5,473993,13236
Marche,2020,5,30074,483
Molise,2020,5,680,138
Piemonte,2020,5,109787,4348
Puglia,2020,5,14399,422
Sardegna,2020,5,3849,61
Sicilia,2020,5,8095,277
Toscana,2020,5,29984,752
Trentino-Alto Adige,2020,5,53981,1192
Umbria,2020,5,2249,39
Valle d'Aosta,2020,5,4375,56
Veneto,2020,5,9829,248
Abruzzo,2020,6,13396,48
Basilicata,2020,6,810,3
Calabria,2020,6,2910,24
Campania,2020,6,12835,-112
Emilia-Romagna,2020,6,126193,706
Friuli Venezia Giulia,2020,6,45719,314
Lazio,2020,6,23978,382
Liguria,2020,6,493111,4933
Marche,2020,6,29751,52
Molise,2020,6,687,9
Piemonte,2020,6,120156,712
Puglia,2020,6,15959,37
Sardegna,2020,6,3949,19
Sicilia,2020,6,8365,34
Toscana,2020,6,32538,146
Trentino-Alto Adige,2020,6,59300,134
Umbria,2020,6,2319,10
Valle d'Aosta,2020,6,4340,11
Veneto,2020,6,10254,35
Abruzzo,2020,7,14488,98
Basilicata,2020,7,850,51
Calabria,2020,7,3007,85
Campania,2020,7,13419,309
Emilia-Romagna,2020,7,132522,1200
Friuli Venezia Giulia,2020,7,48428,237
Lazio,2020,7,26338,537
Liguria,2020,7,519495,2318
Marche,2020,7,30597,104
Molise,2020,7,713,26
Piemonte,2020,7,127571,318
Puglia,2020,7,16975,83
Sardegna,2020,7,4150,40
Sicilia,2020,7,8766,208
Toscana,2020,7,34859,233
Trentino-Alto Adige,2020,7,63441,834
Umbria,2020,7,2480,25
Valle d'Aosta,2020,7,4526,13
Veneto,2020,7,10695,86
Abruzzo,2020,8,14632,402
Basilicata,2020,8,868,75
Calabria,2020,8,3007,225
Campania,2020,8,13643,2067
Emilia-Romagna,2020,8,135876,2258
Friuli Venezia Giulia,2020,8,48654,737
Lazio,2020,8,26981,2544
Liguria,2020,8,522059,3856
Marche,2020,8,30597,356
Molise,2020,8,713,54
Piemonte,2020,8,128313,1214
Puglia,2020,8,17185,829
Sardegna,2020,8,4154,797
Sicilia,2020,8,8832,1029
Toscana,2020,8,35284,1375
Trentino-Alto Adige,2020,8,64968,2809
Umbria,2020,8,2480,327
Valle d'Aosta,2020,8,4526,33
Veneto,2020,8,10767,375
Abruzzo,2020,9,14227,653
Basilicata,2020,9,844,285
Calabria,2020,9,2946,494
Campania,2020,9,13601,5634
Emilia-Romagna,2020,9,134159,3395
Friuli Venezia Giulia,2020,9,47557,2384
Lazio,2020,9,26725,5284
Liguria,2020,9,507235,6652
Marche,2020,9,29665,715
Molise,2020,9,694,130
Piemonte,2020,9,124624,2521
Puglia,2020,9,17242,2346
Sardegna,2020,9,4241,1707
Sicilia,2020,9,8870,2801
Toscana,2020,9,34512,2969
Trentino-Alto Adige,2020,9,64489,4522
Umbria,2020,9,2470,661
Valle d'Aosta,2020,9,4380,73
Veneto,2020,9,10485,897
Abruzzo,2020,10,15488,6143
Basilicata,2020,10,1195,1392
Calabria,2020,10,3252,3081
Campania,2020,10,16258,42998
Emilia-Romagna,2020,10,140262,20556
Friuli Venezia Giulia,2020,10,51223,15273
Lazio,2020,10,31913,29947
Liguria,2020,10,530319,89017
Marche,2020,10,30903,6166
Molise,2020,10,831,1040
Piemonte,2020,10,130729,35234
Puglia,2020,10,19724,10836
Sardegna,2020,10,5442,5531
Sicilia,2020,10,11614,14640
Toscana,2020,10,37605,29436
Trentino-Alto Adige,2020,10,70106,29502
Umbria,2020,10,2969,7725
Valle d'Aosta,2020,10,4632,1926
Veneto,2020,10,11294,6175
Abruzzo,2020,11,21085,17486
Basilicata,2020,11,2737,5952
Calabria,2020,11,5642,11649
Campania,2020,11,32844,99579
Emilia-Romagna,2020,11,153369,67291
Friuli Venezia Giulia,2020,11,62929,23076
Lazio,2020,11,52137,73358
Liguria,2020,11,585935,212047
Marche,2020,11,33725,15685
Molise,2020,11,2189,3018
Piemonte,2020,11,155035,96880
Puglia,2020,11,31341,35698
Sardegna,2020,11,9931,12044
Sicilia,2020,11,28862,41928
Toscana,2020,11,58054,59178
Trentino-Alto Adige,2020,11,88639,88639
Umbria,2020,11,7925,13629
Valle d'Aosta,2020,11,7411,3270
Veneto,2020,11,17042,19809
Abruzzo,2020,12,33285,7302
Basilicata,2020,12,6448,2684
Calabria,2020,12,12349,7192
Campania,2020,12,73321,34354
Emilia-Romagna,2020,12,210501,48490
Friuli Venezia Giulia,2020,12,83342,8785
Lazio,2020,12,95752,43271
Liguria,2020,12,741539,71112
Marche,2020,12,44288,11818
Molise,2020,12,5004,1814
Piemonte,2020,12,223992,32902
Puglia,2020,12,62865,36644
Sardegna,2020,12,19040,9638
Sicilia,2020,12,62956,29958
Toscana,2020,12,100469,16887
Trentino-Alto Adige,2020,12,158135,108283
Umbria,2020,12,16543,5152
Valle d'Aosta,2020,12,11000,775
Veneto,2020,12,40322,19989
Abruzzo,2021,1,41304,7544
Basilicata,2021,1,9044,2406
Calabria,2021,1,16588,8827
Campania,2021,1,103313,32512
Emilia-Romagna,2021,1,268942,47222
Friuli Venezia Giulia,2021,1,96346,9199
Lazio,2021,1,135614,42397
Liguria,2021,1,810767,59151
Marche,2021,1,54970,13863
Molise,2021,1,7108,1826
Piemonte,2021,1,259445,25269
Puglia,2021,1,87561,31943
Sardegna,2021,1,27243,7424
Sicilia,2021,1,91442,42459
Toscana,2021,1,122708,14128
Trentino-Alto Adige,2021,1,244333,58310
Umbria,2021,1,21538,7091
Valle d'Aosta,2021,1,12222,543
Veneto,2021,1,63538,17111
Abruzzo,2021,2,44102,11641
Basilicata,2021,2,9852,2404
Calabria,2021,2,18047,5133
Campania,2021,2,112754,45434
Emilia-Romagna,2021,2,282800,42197
Friuli Venezia Giulia,2021,2,98413,8310
Lazio,2021,2,153988,28780
Liguria,2021,2,777816,65027
Marche,2021,2,59210,12370
Molise,2021,2,8729,2342
Piemonte,2021,2,256048,24037
Puglia,2021,2,100825,24143
Sardegna,2021,2,29980,2654
Sicilia,2021,2,107758,16455
Toscana,2021,2,124358,21779
Trentino-Alto Adige,2021,2,265882,21462
Umbria,2021,2,25587,8632
Valle d'Aosta,2021,2,11523,257
Veneto,2021,2,74804,9278
Abruzzo,2021,3,59779,10800
Basilicata,2021,3,12441,3823
Calabria,2021,3,23106,9078
Campania,2021,3,148343,69670
Emilia-Romagna,2021,3,347298,75773
Friuli Venezia Giulia,2021,3,116436,11346
Lazio,2021,3,193837,51219
Liguria,2021,3,913082,132433
Marche,2021,3,75612,20289
Molise,2021,3,12431,1579
Piemonte,2021,3,303260,62146
Puglia,2021,3,134947,45962
Sardegna,2021,3,37208,4312
Sicilia,2021,3,135715,21565
Toscana,2021,3,154817,39139
Trentino-Alto Adige,2021,3,316577,49191
Umbria,2021,3,36146,6225
Valle d'Aosta,2021,3,12965,1186
Veneto,2021,3,94767,20678
Abruzzo,2021,4,68640,5998
Basilicata,2021,4,14751,4498
Calabria,2021,4,27731,13116
Campania,2021,4,177236,54503
Emilia-Romagna,2021,4,374901,33608
Friuli Venezia Giulia,2021,4,121062,10092
Lazio,2021,4,215850,38307
Liguria,2021,4,960246,69136
Marche,2021,4,84303,9559
Molise,2021,4,13783,958
Piemonte,2021,4,325026,36113
Puglia,2021,4,160633,41829
Sardegna,2021,4,39054,9004
Sicilia,2021,4,151984,34364
Toscana,2021,4,173502,31468
Trentino-Alto Adige,2021,4,330751,29061
Umbria,2021,4,39290,3534
Valle d'Aosta,2021,4,13187,1634
Veneto,2021,4,106352,7666
Abruzzo,2021,5,75991,2829
Basilicata,2021,5,17368,2360
Calabria,2021,5,34276,6858
Campania,2021,5,212076,27477
Emilia-Romagna,2021,5,405210,14727
Friuli Venezia Giulia,2021,5,132433,3345
Lazio,2021,5,247420,18269
Liguria,2021,5,1032799,30497
Marche,2021,5,92534,4977
Molise,2021,5,15044,358
Piemonte,2021,5,356135,14881
Puglia,2021,5,193582,15578
Sardegna,2021,5,44351,2152
Sicilia,2021,5,175081,17322
Toscana,2021,5,201544,14580
Trentino-Alto Adige,2021,5,355724,11428
Umbria,2021,5,42729,1941
Valle d'Aosta,2021,5,14468,661
Veneto,2021,5,116515,1850
Abruzzo,2021,6,75076,816
Basilicata,2021,6,17588,632
Calabria,2021,6,36210,2030
Campania,2021,6,220331,5043
Emilia-Romagna,2021,6,396990,2975
Friuli Venezia Giulia,2021,6,130245,479
Lazio,2021,6,248155,3942
Liguria,2021,6,1011657,6708
Marche,2021,6,90822,958
Molise,2021,6,14730,133
Piemonte,2021,6,350306,2650
Puglia,2021,6,197651,2922
Sardegna,2021,6,44466,577
Sicilia,2021,6,177484,5887
Toscana,2021,6,204411,2852
Trentino-Alto Adige,2021,6,347916,2096
Umbria,2021,6,42404,470
Valle d'Aosta,2021,6,14169,98
Veneto,2021,6,113769,599
Abruzzo,2021,7,77898,1403
Basilicata,2021,7,18318,452
Calabria,2021,7,38406,1993
Campania,2021,7,234104,6751
Emilia-Romagna,2021,7,411368,7534
Friuli Venezia Giulia,2021,7,135018,1895
Lazio,2021,7,259734,12563
Liguria,2021,7,1047933,11145
Marche,2021,7,94184,1922
Molise,2021,7,15251,197
Piemonte,2021,7,362641,2903
Puglia,2021,7,206348,2690
Sardegna,2021,7,46329,4815
Sicilia,2021,7,186188,11244
Toscana,2021,7,213729,7699
Trentino-Alto Adige,2021,7,360417,11160
Umbria,2021,7,44121,1499
Valle d'Aosta,2021,7,14664,74
Veneto,2021,7,117463,1114
Abruzzo,2021,8,78090,2848
Basilicata,2021,8,18433,1539
Calabria,2021,8,39757,6757
Campania,2021,8,237336,14714
Emilia-Romagna,2021,8,412635,17719
Friuli Venezia Giulia,2021,8,135568,4477
Lazio,2021,8,262066,16125
Liguria,2021,8,1049812,16724
Marche,2021,8,94325,4955
Molise,2021,8,15274,333
Piemonte,2021,8,362891,6680
Puglia,2021,8,207236,7523
Sardegna,2021,8,47681,9933
Sicilia,2021,8,191238,33590
Toscana,2021,8,215704,19292
Trentino-Alto Adige,2021,8,361422,18220
Umbria,2021,8,44216,3334
Valle d'Aosta,2021,8,14663,254
Veneto,2021,8,117611,2798
Abruzzo,2021,9,76096,2196
Basilicata,2021,9,18204,1197
Calabria,2021,9,40891,6063
Campania,2021,9,235376,10629
Emilia-Romagna,2021,9,402628,11946
Friuli Venezia Giulia,2021,9,131860,2893
Lazio,2021,9,257627,9894
Liguria,2021,9,1019203,14050
Marche,2021,9,91818,3340
Molise,2021,9,14866,253
Piemonte,2021,9,352201,6545
Puglia,2021,9,202599,5086
Sardegna,2021,9,48460,3273
Sicilia,2021,9,198748,21530
Toscana,2021,9,212581,10947
Trentino-Alto Adige,2021,9,351899,14422
Umbria,2021,9,43206,2124
Valle d'Aosta,2021,9,14200,109
Veneto,2021,9,114346,2983
Abruzzo,2021,10,79138,1781
Basilicata,2021,10,19246,635
Calabria,2021,10,44344,3782
Campania,2021,10,248158,10809
Emilia-Romagna,2021,10,419446,8569
Friuli Venezia Giulia,2021,10,136954,2218
Lazio,2021,10,270276,10599
Liguria,2021,10,1057362,10839
Marche,2021,10,95738,2375
Molise,2021,10,15425,169
Piemonte,2021,10,365453,5915
Puglia,2021,10,211231,4274
Sardegna,2021,10,51415,930
Sicilia,2021,10,214879,9856
Toscana,2021,10,224029,7425
Trentino-Alto Adige,2021,10,365852,11235
Umbria,2021,10,45168,1422
Valle d'Aosta,2021,10,14694,182
Veneto,2021,10,118904,3501
Abruzzo,2021,11,77182,4657
Basilicata,2021,11,18735,801
Calabria,2021,11,44142,5384
Campania,2021,11,244291,23441
Emilia-Romagna,2021,11,410366,23719
Friuli Venezia Giulia,2021,11,133273,7012
Lazio,2021,11,266701,28425
Liguria,2021,11,1027632,37961
Marche,2021,11,93777,7627
Molise,2021,11,15059,541
Piemonte,2021,11,355557,14321
Puglia,2021,11,205913,6470
Sardegna,2021,11,50464,2674
Sicilia,2021,11,213223,15503
Toscana,2021,11,220313,11859
Trentino-Alto Adige,2021,11,356583,36698
Umbria,2021,11,44225,2280
Valle d'Aosta,2021,11,14287,883
Veneto,2021,11,117325,13886
Abruzzo,2021,12,81065,18929
Basilicata,2021,12,19480,4730
Calabria,2021,12,47882,18810
Campania,2021,12,258274,92604
Emilia-Romagna,2021,12,433475,81110
Friuli Venezia Giulia,2021,12,139949,26661
Lazio,2021,12,282716,81703
Liguria,2021,12,1075544,284790
Marche,2021,12,98803,21605
Molise,2021,12,15733,1471
Piemonte,2021,12,370418,95481
Puglia,2021,12,214779,29773
Sardegna,2021,12,53038,9373
Sicilia,2021,12,227326,48146
Toscana,2021,12,231727,80103
Trentino-Alto Adige,2021,12,376416,128565
Umbria,2021,12,46416,21329
Valle d'Aosta,2021,12,15017,3004
Veneto,2021,12,127219,25194
Abruzzo,2022,1,84042,108737
Basilicata,2022,1,20331,27445
Calabria,2022,1,53803,58415
Campania,2022,1,271459,448051
Emilia-Romagna,2022,1,452487,514214
Friuli Venezia Giulia,2022,1,146691,132108
Lazio,2022,1,295348,377084
Liguria,2022,1,1116052,911717
Marche,2022,1,102955,115447
Molise,2022,1,16027,13267
Piemonte,2022,1,381723,379095
Puglia,2022,1,219378,206675
Sardegna,2022,1,55000,36971
Sicilia,2022,1,246685,249480
Toscana,2022,1,243737,357707
Trentino-Alto Adige,2022,1,395447,480816
Umbria,2022,1,48395,66230
Valle d'Aosta,2022,1,15373,12926
Veneto,2022,1,134744,112314
Abruzzo,2022,2,80872,48244
Basilicata,2022,2,20166,19392
Calabria,2022,2,56093,45277
Campania,2022,2,266729,174651
Emilia-Romagna,2022,2,435990,135846
Friuli Venezia Giulia,2022,2,140291,48078
Lazio,2022,2,284741,191153
Liguria,2022,2,1064900,203479
Marche,2022,2,98383,66254
Molise,2022,2,15499,9049
Piemonte,2022,2,360042,104052
Puglia,2022,2,208864,131920
Sardegna,2022,2,54602,50482
Sicilia,2022,2,253987,152679
Toscana,2022,2,242682,116718
Trentino-Alto Adige,2022,2,379919,178500
Umbria,2022,2,47320,29100
Valle d'Aosta,2022,2,14418,2293
Veneto,2022,2,130363,40416
Abruzzo,2022,3,93978,51714
Basilicata,2022,3,24747,23223
Calabria,2022,3,68202,80060
Campania,2022,3,306999,194349
Emilia-Romagna,2022,3,499270,95332
Friuli Venezia Giulia,2022,3,159958,40447
Lazio,2022,3,328898,212266
Liguria,2022,3,1208249,204667
Marche,2022,3,113086,63411
Molise,2022,3,17995,9995
Piemonte,2022,3,407130,72454
Puglia,2022,3,242518,183597
Sardegna,2022,3,66285,53973
Sicilia,2022,3,303571,150579
Toscana,2022,3,287573,128360
Trentino-Alto Adige,2022,3,434013,161095
Umbria,2022,3,54814,49901
Valle d'Aosta,2022,3,16197,1611
Veneto,2022,3,150336,26152
Abruzzo,2022,4,94651,59398
Basilicata,2022,4,25751,21179
Calabria,2022,4,72415,62309
Campania,2022,4,304691,202215
Emilia-Romagna,2022,4,493270,129946
Friuli Venezia Giulia,2022,4,156983,41576
Lazio,2022,4,327924,196755
Liguria,2022,4,1187789,228126
Marche,2022,4,113447,54014
Molise,2022,4,18128,10896
Piemonte,2022,4,397777,94002
Puglia,2022,4,243984,148777
Sardegna,2022,4,68823,50259
Sicilia,2022,4,310360,118791
Toscana,2022,4,290600,113167
Trentino-Alto Adige,2022,4,429386,177689
Umbria,2022,4,54776,34128
Valle d'Aosta,2022,4,15848,2429
Veneto,2022,4,148769,29127
Abruzzo,2022,5,101454,31767
Basilicata,2022,5,28122,10170
Calabria,2022,5,79398,31855
Campania,2022,5,322760,106818
Emilia-Romagna,2022,5,520887,75562
Friuli Venezia Giulia,2022,5,164433,22788
Lazio,2022,5,348476,94167
Liguria,2022,5,1248965,127540
Marche,2022,5,120145,28936
Molise,2022,5,19330,6008
Piemonte,2022,5,414899,53715
Puglia,2022,5,260487,66771
Sardegna,2022,5,74653,32496
Sicilia,2022,5,334288,68678
Toscana,2022,5,309768,53558
Trentino-Alto Adige,2022,5,452281,85602
Umbria,2022,5,57060,18242
Valle d'Aosta,2022,5,16560,1570
Veneto,2022,5,157013,15725
Abruzzo,2022,6,100662,26062
Basilicata,2022,6,27805,8520
Calabria,2022,6,79233,26902
Campania,2022,6,316986,108979
Emilia-Romagna,2022,6,510690,84817
Friuli Venezia Giulia,2022,6,160264,25400
Lazio,2022,6,341980,136571
Liguria,2022,6,1220716,158400
Marche,2022,6,117683,25621
Molise,2022,6,18945,4981
Piemonte,2022,6,403607,53597
Puglia,2022,6,257011,72307
Sardegna,2022,6,74708,38545
Sicilia,2022,6,332435,85771
Toscana,2022,6,303981,61469
Trentino-Alto Adige,2022,6,442441,105384
Umbria,2022,6,56128,19085
Valle d'Aosta,2022,6,16076,1240
Veneto,2022,6,154013,22460
Abruzzo,2022,7,106160,75307
Basilicata,2022,7,29480,24338
Calabria,2022,7,84919,79715
Campania,2022,7,332809,288962
Emilia-Romagna,2022,7,535564,187599
Friuli Venezia Giulia,2022,7,167016,59971
Lazio,2022,7,359644,238057
Liguria,2022,7,1275163,319875
Marche,2022,7,123112,76225
Molise,2022,7,19896,11413
Piemonte,2022,7,418529,131383
Puglia,2022,7,270348,192360
Sardegna,2022,7,79239,66296
Sicilia,2022,7,353770,184424
Toscana,2022,7,318883,125880
Trentino-Alto Adige,2022,7,462766,240516
Umbria,2022,7,59194,45165
Valle d'Aosta,2022,7,16725,4086
Veneto,2022,7,161145,52003
Abruzzo,2022,8,111260,32432
Basilicata,2022,8,30315,8343
Calabria,2022,8,89698,42150
Campania,2022,8,340429,73945
Emilia-Romagna,2022,8,549787,62255
Friuli Venezia Giulia,2022,8,170389,25243
Lazio,2022,8,368835,66269
Liguria,2022,8,1300802,102225
Marche,2022,8,126136,29386
Molise,2022,8,20499,5103
Piemonte,2022,8,420612,46827
Puglia,2022,8,276613,55347
Sardegna,2022,8,82682,21865
Sicilia,2022,8,369340,61862
Toscana,2022,8,327357,38158
Trentino-Alto Adige,2022,8,472603,98329
Umbria,2022,8,62799,14856
Valle d'Aosta,2022,8,16944,1693
Veneto,2022,8,164684,22465
Abruzzo,2022,9,109594,19822
Basilicata,2022,9,29495,4979
Calabria,2022,9,89497,19569
Campania,2022,9,335235,48562
Emilia-Romagna,2022,9,539053,44217
Friuli Venezia Giulia,2022,9,166880,15614
Lazio,2022,9,361433,53656
Liguria,2022,9,1272104,100108
Marche,2022,9,122980,18232
Molise,2022,9,20261,2878
Piemonte,2022,9,408343,49233
Puglia,2022,9,271305,25452
Sardegna,2022,9,82379,10771
Sicilia,2022,9,364949,29465
Toscana,2022,9,321402,29477
Trentino-Alto Adige,2022,9,462820,78192
Umbria,2022,9,62812,12271
Valle d'Aosta,2022,9,16457,979
Veneto,2022,9,162109,17033
Abruzzo,2022,10,114364,28581
Basilicata,2022,10,30597,5107
Calabria,2022,10,94143,22938
Campania,2022,10,348947,62217
Emilia-Romagna,2022,10,562024,95357
Friuli Venezia Giulia,2022,10,173534,28733
