region_name,age_group,vaccination_rate
Campania,70+,43.85478345975043
Puglia,70+,41.604701320203915
Lazio,70+,39.62079824345992
Sicilia,70+,39.371033437529604
Liguria,70+,38.78787950720441
Sardegna,70+,38.3707072142485
Piemonte,70+,36.452448676725204
Trentino-Alto Adige,70+,36.40662494275683
Valle d'Aosta,70+,36.32086167800453
Calabria,70+,35.75045537340619
Basilicata,70+,34.60143167582769
Toscana,70+,34.18105881580675
Abruzzo,70+,33.6485267742762
Umbria,70+,33.36647070480217
Veneto,70+,33.348360249677995
Emilia-Romagna,70+,32.46383584192392
Marche,70+,31.38860610806578
Friuli Venezia Giulia,70+,31.364269372326667
Molise,70+,30.57846330714696
Puglia,70+,8.593756749946001
Sardegna,70+,8.511368890009667
Campania,70+,8.4255444171534
Lazio,70+,8.277040117328248
Valle d'Aosta,70+,8.214102564102564
Trentino-Alto Adige,70+,8.139091560591066
Veneto,70+,8.080593467535742
Umbria,70+,8.046369747363727
Toscana,70+,8.021694338212923
Liguria,70+,7.984303563255646
Sicilia,70+,7.897997187701896
Emilia-Romagna,70+,7.818276188748463
Abruzzo,70+,7.772121484707887
Piemonte,70+,7.68811132267404
Calabria,70+,7.652562198291868
Molise,70+,7.585749595969198
Friuli Venezia Giulia,70+,7.518599475399411
Basilicata,70+,7.496801174287534
Marche,70+,7.434871319267331
Piemonte,16-29,6.749737988139488
Emilia-Romagna,16-29,6.728994970164641
Toscana,16-29,6.634113139439733
Abruzzo,16-29,6.571367457380591
Friuli Venezia Giulia,16-29,6.525706390597026
Lazio,16-29,6.505019720329868
Veneto,16-29,6.5035469350239214
Molise,16-29,6.351497886417937
Lazio,50-69,6.255676104485941
Umbria,16-29,6.216950144720154
Trentino-Alto Adige,16-29,6.195645637583892
Marche,16-29,6.157687706195845
Liguria,50-69,6.141716299754016
Sardegna,16-29,6.115130810033264
Puglia,16-29,6.0505701298779275
Emilia-Romagna,50-69,6.043914638397229
Toscana,50-69,6.032159532695957
Puglia,50-69,6.016186596048075
Valle d'Aosta,16-29,6.000849978750531
Campania,50-69,5.968612258465538
Trentino-Alto Adige,50-69,5.90010775683427
Calabria,16-29,5.892042270956309
Basilicata,16-29,5.886664851125635
Basilicata,50-69,5.834338135325542
Campania,16-29,5.830989629108807
Umbria,50-69,5.811369742805707
Molise,50-69,5.799476659507763
Friuli Venezia Giulia,50-69,5.7970213290593025
Valle d'Aosta,50-69,5.771793275217933
Abruzzo,50-69,5.742309412360991
Liguria,30-49,5.742043837077017
Piemonte,50-69,5.7202484276222565
Sardegna,50-69,5.694237639788769
Toscana,30-49,5.6830341130992705
Sicilia,50-69,5.635822295704764
Sicilia,16-29,5.631642494648483
Marche,50-69,5.599163413851299
Veneto,50-69,5.56591286932967
Calabria,50-69,5.549982380863545
Friuli Venezia Giulia,30-49,5.5077099226297745
Emilia-Romagna,30-49,5.484754838490866
Lazio,30-49,5.398313773970717
Piemonte,30-49,5.386832314902899
Puglia,30-49,5.357800334518538
Umbria,70+,5.31698665319355
Umbria,30-49,5.308687463334809
Veneto,30-49,5.292543918999594
Sardegna,30-49,5.28143470382674
Molise,70+,5.268528605856525
Trentino-Alto Adige,30-49,5.267830365906527
Basilicata,70+,5.225113406041888
Valle d'Aosta,30-49,5.162289357826021
Marche,70+,5.140822490557326
Marche,30-49,5.127419810441921
Emilia-Romagna,70+,5.090980882858012
Friuli Venezia Giulia,70+,5.084635066708236
Abruzzo,30-49,5.080338126107237
Toscana,70+,5.078268735173143
Abruzzo,70+,5.029033789786478
Molise,30-49,5.022647932835175
Lazio,70+,4.968830105415329
Liguria,70+,4.960385129118433
Molise,50-69,4.9518580190966
Piemonte,70+,4.939164167099553
Valle d'Aosta,70+,4.894949957979983
Basilicata,30-49,4.89483774001595
Puglia,70+,4.89007103094737
Puglia,50-69,4.876839953367482
Campania,30-49,4.871654703617436
Basilicata,50-69,4.837500854000137
Trentino-Alto Adige,70+,4.823605552106107
Sardegna,50-69,4.7862388562322415
Veneto,70+,4.760446647667404
Toscana,50-69,4.7596123384033655
Umbria,50-69,4.747876924441423
Sardegna,70+,4.7410641647693685
Abruzzo,50-69,4.717026602075854
Sicilia,30-49,4.707469474198258
Calabria,70+,4.704887904661888
Lazio,50-69,4.674767106546745
Calabria,50-69,4.667783573450858
Emilia-Romagna,50-69,4.65429763228646
Friuli Venezia Giulia,50-69,4.652001503848665
Piemonte,50-69,4.636604142889917
Sicilia,50-69,4.622679118375366
Campania,50-69,4.609437954423012
Marche,50-69,4.579151036859531
Liguria,50-69,4.567372529505979
Calabria,30-49,4.565737657816013
Sicilia,70+,4.547831890845032
Valle d'Aosta,50-69,4.465722406898878
Trentino-Alto Adige,50-69,4.451759937958122
Campania,70+,4.440344357735662
Veneto,50-69,4.4221477639571
Liguria,30-49,4.377287674580449
Puglia,30-49,4.234134875842631
Campania,30-49,4.170060447799597
Molise,30-49,4.123987302790543
Toscana,30-49,4.0988059288587255
Basilicata,30-49,4.06748059693884
Lazio,30-49,4.066377735212859
Calabria,30-49,4.055912347935755
Umbria,30-49,4.035045997872207
Abruzzo,30-49,4.02858570977586
Sicilia,30-49,3.9748868548291263
Emilia-Romagna,30-49,3.9652912397304534
Piemonte,30-49,3.910790286766391
Sardegna,30-49,3.9028693261068823
Friuli Venezia Giulia,30-49,3.827984178556293
