year,month,region_name,age_group,total_vaccinations_cumulative,total_new_positives,total_hospitalized,population,incidence_per_100k,pct_vaccinated
2021,1,Lazio,00-29,15290.0,42397.0,84298.0,1696927,2498.46,0.9
2021,1,Lazio,30-49,47903.0,42397.0,84298.0,1464927,2894.14,3.27
2021,1,Lazio,50-69,53680.0,42397.0,84298.0,1575449,2691.11,3.41
2021,1,Lazio,70+,17499.0,42397.0,84298.0,1010442,4195.89,1.73
2021,1,Lombardia,00-29,26266.0,59151.0,108655.0,2759019,2143.91,0.95
2021,1,Lombardia,30-49,85828.0,59151.0,108655.0,2551708,2318.09,3.36
2021,1,Lombardia,50-69,97964.0,59151.0,108655.0,2806730,2107.47,3.49
2021,1,Lombardia,70+,34775.0,59151.0,108655.0,1591595,3716.46,2.18
2021,2,Lazio,00-29,22291.0,28780.0,57954.0,1696927,1696.01,1.31
2021,2,Lazio,30-49,81120.0,28780.0,57954.0,1464927,1964.6,5.54
2021,2,Lazio,50-69,86881.0,28780.0,57954.0,1575449,1826.78,5.51
2021,2,Lazio,70+,119293.0,28780.0,57954.0,1010442,2848.26,11.81
2021,2,Lombardia,00-29,46925.0,65027.0,103403.0,2759019,2356.89,1.7
2021,2,Lombardia,30-49,137073.0,65027.0,103403.0,2551708,2548.37,5.37
2021,2,Lombardia,50-69,144396.0,65027.0,103403.0,2806730,2316.82,5.14
2021,2,Lombardia,70+,119278.0,65027.0,103403.0,1591595,4085.65,7.49
2021,3,Lazio,00-29,39863.0,51219.0,73338.0,1696927,3018.34,2.35
2021,3,Lazio,30-49,164884.0,51219.0,73338.0,1464927,3496.35,11.26
2021,3,Lazio,50-69,219313.0,51219.0,73338.0,1575449,3251.07,13.92
2021,3,Lazio,70+,356565.0,51219.0,73338.0,1010442,5068.97,35.29
2021,3,Lombardia,00-29,83363.0,132433.0,190217.0,2759019,4800.0,3.02
2021,3,Lombardia,30-49,264483.0,132433.0,190217.0,2551708,5189.97,10.36
2021,3,Lombardia,50-69,287792.0,132433.0,190217.0,2806730,4718.41,10.25
2021,3,Lombardia,70+,475120.0,132433.0,190217.0,1591595,8320.77,29.85
2021,4,Lazio,00-29,52465.0,38307.0,84426.0,1696927,2257.43,3.09
2021,4,Lazio,30-49,200260.0,38307.0,84426.0,1464927,2614.94,13.67
2021,4,Lazio,50-69,424699.0,38307.0,84426.0,1575449,2431.5,26.96
2021,4,Lazio,70+,678901.0,38307.0,84426.0,1010442,3791.11,67.19
2021,4,Lombardia,00-29,112083.0,69136.0,157293.0,2759019,2505.82,4.06
2021,4,Lombardia,30-49,341869.0,69136.0,157293.0,2551708,2709.4,13.4
2021,4,Lombardia,50-69,631011.0,69136.0,157293.0,2806730,2463.22,22.48
2021,4,Lombardia,70+,1312576.0,69136.0,157293.0,1591595,4343.82,82.47
2021,5,Lazio,00-29,75947.0,18269.0,48257.0,1696927,1076.59,4.48
2021,5,Lazio,30-49,374164.0,18269.0,48257.0,1464927,1247.09,25.54
2021,5,Lazio,50-69,1083609.0,18269.0,48257.0,1575449,1159.61,68.78
2021,5,Lazio,70+,860314.0,18269.0,48257.0,1010442,1808.02,85.14
2021,5,Lombardia,00-29,199444.0,30497.0,66942.0,2759019,1105.36,7.23
2021,5,Lombardia,30-49,564950.0,30497.0,66942.0,2551708,1195.16,22.14
2021,5,Lombardia,50-69,1638376.0,30497.0,66942.0,2806730,1086.57,58.37
2021,5,Lombardia,70+,1549976.0,30497.0,66942.0,1591595,1916.13,97.39
2021,6,Lazio,00-29,258942.0,3942.0,13593.0,1696927,232.3,15.26
2021,6,Lazio,30-49,904706.0,3942.0,13593.0,1464927,269.09,61.76
2021,6,Lazio,50-69,1315433.0,3942.0,13593.0,1575449,250.21,83.5
2021,6,Lazio,70+,883551.0,3942.0,13593.0,1010442,390.13,87.44
2021,6,Lombardia,00-29,643135.0,6708.0,17111.0,2759019,243.13,23.31
2021,6,Lombardia,30-49,1663046.0,6708.0,17111.0,2551708,262.88,65.17
2021,6,Lombardia,50-69,2236024.0,6708.0,17111.0,2806730,239.0,79.67
2021,6,Lombardia,70+,1583515.0,6708.0,17111.0,1591595,421.46,99.49
2021,7,Lazio,00-29,496341.0,12563.0,5197.0,1696927,740.34,29.25
2021,7,Lazio,30-49,1048749.0,12563.0,5197.0,1464927,857.59,71.59
2021,7,Lazio,50-69,1359739.0,12563.0,5197.0,1575449,797.42,86.31
2021,7,Lazio,70+,890941.0,12563.0,5197.0,1010442,1243.32,88.17
2021,7,Lombardia,00-29,1006218.0,11145.0,4835.0,2759019,403.95,36.47
2021,7,Lombardia,30-49,1828683.0,11145.0,4835.0,2551708,436.77,71.67
2021,7,Lombardia,50-69,2299046.0,11145.0,4835.0,2806730,397.08,81.91
2021,7,Lombardia,70+,1598155.0,11145.0,4835.0,1591595,700.24,100.41
2021,8,Lazio,00-29,672736.0,16125.0,14128.0,1696927,950.25,39.64
