year,region_name,age_group,total_vaccinations,population,vaccination_rate_percent
2020,Abruzzo,00-29,2,380650,0.00
2020,Abruzzo,30-49,14,345680,0.00
2020,Abruzzo,50-69,29,354958,0.01
2020,Abruzzo,70+,2,218186,0.00
2020,Basilicata,00-29,9,187809,0.00
2020,Basilicata,30-49,59,166085,0.04
2020,Basilicata,50-69,39,190156,0.02
2020,Calabria,00-29,61,857302,0.01
2020,Calabria,30-49,109,823134,0.01
2020,Calabria,50-69,155,843223,0.02
2020,Campania,00-29,187,1678101,0.01
2020,Campania,30-49,918,1515215,0.06
2020,Campania,50-69,1091,1632547,0.07
2020,Campania,70+,11,1003805,0.00
2020,Emilia-Romagna,00-29,380,1259605,0.03
2020,Emilia-Romagna,30-49,1235,1071502,0.12
2020,Emilia-Romagna,50-69,1236,1227699,0.10
2020,Emilia-Romagna,70+,341,705497,0.05
2020,Friuli Venezia Giulia,00-29,181,380807,0.05
2020,Friuli Venezia Giulia,30-49,848,344879,0.25
2020,Friuli Venezia Giulia,50-69,898,360976,0.25
2020,Friuli Venezia Giulia,70+,42,222307,0.02
2020,Lazio,00-29,824,1686463,0.05
2020,Lazio,30-49,3803,1536672,0.25
2020,Lazio,50-69,3872,1663226,0.23
2020,Lazio,70+,314,998522,0.03
2020,Liguria,00-29,90,421235,0.02
2020,Liguria,30-49,421,401990,0.10
2020,Liguria,50-69,605,432915,0.14
2020,Liguria,70+,226,245403,0.09
2020,Lombardia,00-29,131,2841138,0.00
2020,Lombardia,30-49,694,2445835,0.03
2020,Lombardia,50-69,901,2737306,0.03
2020,Lombardia,70+,37,1746890,0.00
2020,Marche,00-29,19,428776,0.00
2020,Marche,30-49,207,380187,0.05
2020,Marche,50-69,236,398048,0.06
2020,Marche,70+,4,259493,0.00
2020,Molise,00-29,4,102556,0.00
2020,Molise,30-49,16,97488,0.02
2020,Molise,50-69,13,98759,0.01
2020,Molise,70+,11,63131,0.02
2020,Piemonte,00-29,596,1145412,0.05
2020,Piemonte,30-49,2267,1018112,0.22
2020,Piemonte,50-69,2585,1096137,0.24
2020,Piemonte,70+,195,690939,0.03
2020,Puglia,00-29,258,1106508,0.02
2020,Puglia,30-49,948,992194,0.10
2020,Puglia,50-69,836,1084156,0.08
2020,Puglia,70+,108,658383,0.02
2020,Sardegna,00-29,10,453518,0.00
2020,Sardegna,30-49,63,413530,0.02
2020,Sardegna,50-69,158,460546,0.03
2020,Sardegna,70+,3,276799,0.00
2020,Sicilia,00-29,254,1411192,0.02
2020,Sicilia,30-49,827,1286321,0.06
2020,Sicilia,50-69,837,1317185,0.06
2020,Sicilia,70+,32,854640,0.00
2020,Toscana,00-29,82,980314,0.01
2020,Toscana,30-49,366,923382,0.04
2020,Toscana,50-69,479,967166,0.05
